Month,Retailer,StoreType,State,Region,Category,TY AUR,Units
2018 Apr,AAFES,B&M,AE,OTHER,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,AE,OTHER,PANT/CAPRI,,46 
2018 Apr,AAFES,B&M,AK,NORTHWEST,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,AK,NORTHWEST,PANT/CAPRI,,116 
2018 Apr,AAFES,B&M,AL,SOUTHEAST,PANT/CAPRI,,54 
2018 Apr,AAFES,B&M,AR,SOUTH CENTRAL,PANT/CAPRI,,10 
2018 Apr,AAFES,B&M,AZ,WEST,PANT/CAPRI,,96 
2018 Apr,AAFES,B&M,BE,OTHER,PANT/CAPRI,,2 
2018 Apr,AAFES,B&M,CA,WEST,PANT/CAPRI,,124 
2018 Apr,AAFES,B&M,CO,WEST,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,CO,WEST,PANT/CAPRI,,124 
2018 Apr,AAFES,B&M,DC,MIDATLANTIC,PANT/CAPRI,,36 
2018 Apr,AAFES,B&M,DE,MIDATLANTIC,PANT/CAPRI,,6 
2018 Apr,AAFES,B&M,FL,SOUTHEAST,PANT/CAPRI,,112 
2018 Apr,AAFES,B&M,GA,SOUTHEAST,PANT/CAPRI,,154 
2018 Apr,AAFES,B&M,GE,OTHER,JACKET/VEST,,6 
2018 Apr,AAFES,B&M,GE,OTHER,PANT/CAPRI,,294 
2018 Apr,AAFES,B&M,GU,OTHER,PANT/CAPRI,,0 
2018 Apr,AAFES,B&M,HI,WEST,PANT/CAPRI,,4 
2018 Apr,AAFES,B&M,ID,NORTHWEST,PANT/CAPRI,,4 
2018 Apr,AAFES,B&M,IL,NORTH CENTRAL,PANT/CAPRI,,30 
2018 Apr,AAFES,B&M,IN,NORTH CENTRAL,PANT/CAPRI,,8 
2018 Apr,AAFES,B&M,IQ,OTHER,JACKET/VEST,,8 
2018 Apr,AAFES,B&M,IQ,OTHER,PANT/CAPRI,,120 
2018 Apr,AAFES,B&M,IT,OTHER,PANT/CAPRI,,10 
2018 Apr,AAFES,B&M,JA,OTHER,JACKET/VEST,,14 
2018 Apr,AAFES,B&M,JA,OTHER,PANT/CAPRI,,204 
2018 Apr,AAFES,B&M,KO,OTHER,DAYPACK,,0 
2018 Apr,AAFES,B&M,KO,OTHER,JACKET/VEST,,4 
2018 Apr,AAFES,B&M,KO,OTHER,PANT/CAPRI,,126 
2018 Apr,AAFES,B&M,KS,NORTH CENTRAL,PANT/CAPRI,,48 
2018 Apr,AAFES,B&M,KU,OTHER,PANT/CAPRI,,24 
2018 Apr,AAFES,B&M,KY,SOUTHEAST,JACKET/VEST,,2 
2018 Apr,AAFES,B&M,KY,SOUTHEAST,PANT/CAPRI,,62 
2018 Apr,AAFES,B&M,LA,SOUTH CENTRAL,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,LA,SOUTH CENTRAL,PANT/CAPRI,,44 
2018 Apr,AAFES,B&M,MA,NORTHEAST,PANT/CAPRI,,12 
2018 Apr,AAFES,B&M,MD,MIDATLANTIC,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,MD,MIDATLANTIC,PANT/CAPRI,,68 
2018 Apr,AAFES,B&M,MI,NORTH CENTRAL,PANT/CAPRI,,6 
2018 Apr,AAFES,B&M,MO,NORTH CENTRAL,PANT/CAPRI,,48 
2018 Apr,AAFES,B&M,MS,SOUTHEAST,PANT/CAPRI,,26 
2018 Apr,AAFES,B&M,MT,NORTHWEST,PANT/CAPRI,,6 
2018 Apr,AAFES,B&M,NC,SOUTHEAST,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,NC,SOUTHEAST,PANT/CAPRI,,110 
2018 Apr,AAFES,B&M,ND,NORTH CENTRAL,PANT/CAPRI,,26 
2018 Apr,AAFES,B&M,NE,NORTH CENTRAL,PANT/CAPRI,,6 
2018 Apr,AAFES,B&M,NJ,MIDATLANTIC,PANT/CAPRI,,40 
2018 Apr,AAFES,B&M,NL,OTHER,PANT/CAPRI,,4 
2018 Apr,AAFES,B&M,NM,WEST,PANT/CAPRI,,28 
2018 Apr,AAFES,B&M,NV,WEST,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,NV,WEST,PANT/CAPRI,,54 
2018 Apr,AAFES,B&M,NY,NORTHEAST,PANT/CAPRI,,22 
2018 Apr,AAFES,B&M,OH,NORTH CENTRAL,PANT/CAPRI,,32 
2018 Apr,AAFES,B&M,OK,SOUTH CENTRAL,PANT/CAPRI,,50 
2018 Apr,AAFES,B&M,PA,MIDATLANTIC,PANT/CAPRI,,16 
2018 Apr,AAFES,B&M,PO,OTHER,PANT/CAPRI,,0 
2018 Apr,AAFES,B&M,PR,OTHER,PANT/CAPRI,,10 
2018 Apr,AAFES,B&M,QA,OTHER,PANT/CAPRI,,0 
2018 Apr,AAFES,B&M,SC,SOUTHEAST,JACKET/VEST,,2 
2018 Apr,AAFES,B&M,SC,SOUTHEAST,PANT/CAPRI,,74 
2018 Apr,AAFES,B&M,SD,NORTH CENTRAL,PANT/CAPRI,,2 
2018 Apr,AAFES,B&M,TX,OTHER,PANT/CAPRI,,"1,634 "
2018 Apr,AAFES,B&M,TX,SOUTH CENTRAL,PANT/CAPRI,,272 
2018 Apr,AAFES,B&M,UK,OTHER,PANT/CAPRI,,22 
2018 Apr,AAFES,B&M,UT,WEST,PANT/CAPRI,,22 
2018 Apr,AAFES,B&M,VA,MIDATLANTIC,JACKET/VEST,,4 
2018 Apr,AAFES,B&M,VA,MIDATLANTIC,PANT/CAPRI,,314 
2018 Apr,AAFES,B&M,WA,NORTHWEST,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,WA,NORTHWEST,PANT/CAPRI,,164 
2018 Apr,AAFES,B&M,WI,NORTH CENTRAL,PANT/CAPRI,,6 
2018 Apr,AAFES,B&M,WY,NORTHWEST,PANT/CAPRI,,2 
2018 Apr,AAFES,ECOMMERCE,TX,OTHER,SLEEPING BAG,,0 
2018 Apr,ACADEMY SPORTS,B&M,AL,SOUTHEAST,DAYPACK,76.57 ,14 
2018 Apr,ACADEMY SPORTS,B&M,AL,SOUTHEAST,PANT/CAPRI,51.96 ,56 
2018 Apr,ACADEMY SPORTS,B&M,AL,SOUTHEAST,SLEEPING BAG,36.65 ,4 
2018 Apr,ACADEMY SPORTS,B&M,AL,SOUTHEAST,TENT,129.49 ,4 
2018 Apr,ACADEMY SPORTS,B&M,AR,SOUTH CENTRAL,DAYPACK,82.00 ,4 
2018 Apr,ACADEMY SPORTS,B&M,AR,SOUTH CENTRAL,PANT/CAPRI,47.49 ,20 
2018 Apr,ACADEMY SPORTS,B&M,AR,SOUTH CENTRAL,SLEEPING BAG,76.37 ,6 
2018 Apr,ACADEMY SPORTS,B&M,AR,SOUTH CENTRAL,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,FL,SOUTHEAST,DAYPACK,59.00 ,2 
2018 Apr,ACADEMY SPORTS,B&M,FL,SOUTHEAST,PANT/CAPRI,50.00 ,(2)
2018 Apr,ACADEMY SPORTS,B&M,FL,SOUTHEAST,SLEEPING BAG,79.00 ,2 
2018 Apr,ACADEMY SPORTS,B&M,FL,SOUTHEAST,TENT,159.00 ,2 
2018 Apr,ACADEMY SPORTS,B&M,GA,OTHER,DAYPACK,,0 
2018 Apr,ACADEMY SPORTS,B&M,GA,OTHER,PANT/CAPRI,,0 
2018 Apr,ACADEMY SPORTS,B&M,GA,OTHER,SLEEPING BAG,,0 
2018 Apr,ACADEMY SPORTS,B&M,GA,OTHER,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,GA,SOUTHEAST,DAYPACK,80.57 ,46 
2018 Apr,ACADEMY SPORTS,B&M,GA,SOUTHEAST,PANT/CAPRI,53.12 ,230 
2018 Apr,ACADEMY SPORTS,B&M,GA,SOUTHEAST,SLEEPING BAG,72.72 ,32 
2018 Apr,ACADEMY SPORTS,B&M,GA,SOUTHEAST,TENT,139.33 ,6 
2018 Apr,ACADEMY SPORTS,B&M,IL,NORTH CENTRAL,DAYPACK,89.55 ,8 
2018 Apr,ACADEMY SPORTS,B&M,IL,NORTH CENTRAL,PANT/CAPRI,46.49 ,20 
2018 Apr,ACADEMY SPORTS,B&M,IL,NORTH CENTRAL,SLEEPING BAG,99.00 ,2 
2018 Apr,ACADEMY SPORTS,B&M,IL,NORTH CENTRAL,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,IN,NORTH CENTRAL,DAYPACK,69.50 ,4 
2018 Apr,ACADEMY SPORTS,B&M,IN,NORTH CENTRAL,PANT/CAPRI,40.66 ,18 
2018 Apr,ACADEMY SPORTS,B&M,IN,NORTH CENTRAL,SLEEPING BAG,71.19 ,6 
2018 Apr,ACADEMY SPORTS,B&M,IN,NORTH CENTRAL,TENT,159.00 ,4 
2018 Apr,ACADEMY SPORTS,B&M,KS,NORTH CENTRAL,DAYPACK,71.46 ,22 
2018 Apr,ACADEMY SPORTS,B&M,KS,NORTH CENTRAL,JACKET/VEST,,0 
2018 Apr,ACADEMY SPORTS,B&M,KS,NORTH CENTRAL,PANT/CAPRI,54.70 ,68 
2018 Apr,ACADEMY SPORTS,B&M,KS,NORTH CENTRAL,SLEEPING BAG,43.48 ,4 
2018 Apr,ACADEMY SPORTS,B&M,KS,NORTH CENTRAL,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,KS,SOUTH CENTRAL,PANT/CAPRI,,0 
2018 Apr,ACADEMY SPORTS,B&M,KY,SOUTHEAST,DAYPACK,79.40 ,10 
2018 Apr,ACADEMY SPORTS,B&M,KY,SOUTHEAST,PANT/CAPRI,51.09 ,82 
2018 Apr,ACADEMY SPORTS,B&M,KY,SOUTHEAST,SLEEPING BAG,99.00 ,2 
2018 Apr,ACADEMY SPORTS,B&M,KY,SOUTHEAST,TENT,159.00 ,(2)
2018 Apr,ACADEMY SPORTS,B&M,LA,SOUTH CENTRAL,DAYPACK,67.25 ,16 
2018 Apr,ACADEMY SPORTS,B&M,LA,SOUTH CENTRAL,PANT/CAPRI,54.18 ,128 
2018 Apr,ACADEMY SPORTS,B&M,LA,SOUTH CENTRAL,SLEEPING BAG,51.38 ,10 
2018 Apr,ACADEMY SPORTS,B&M,LA,SOUTH CENTRAL,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,MO,NORTH CENTRAL,DAYPACK,79.50 ,8 
2018 Apr,ACADEMY SPORTS,B&M,MO,NORTH CENTRAL,JACKET/VEST,,0 
2018 Apr,ACADEMY SPORTS,B&M,MO,NORTH CENTRAL,PANT/CAPRI,52.93 ,80 
2018 Apr,ACADEMY SPORTS,B&M,MO,NORTH CENTRAL,SLEEPING BAG,79.00 ,4 
2018 Apr,ACADEMY SPORTS,B&M,MO,NORTH CENTRAL,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,MS,SOUTHEAST,DAYPACK,77.40 ,10 
2018 Apr,ACADEMY SPORTS,B&M,MS,SOUTHEAST,PANT/CAPRI,55.76 ,26 
2018 Apr,ACADEMY SPORTS,B&M,MS,SOUTHEAST,SLEEPING BAG,79.00 ,2 
2018 Apr,ACADEMY SPORTS,B&M,MS,SOUTHEAST,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,NC,SOUTHEAST,DAYPACK,58.50 ,2 
2018 Apr,ACADEMY SPORTS,B&M,NC,SOUTHEAST,PANT/CAPRI,48.88 ,18 
2018 Apr,ACADEMY SPORTS,B&M,NC,SOUTHEAST,SLEEPING BAG,79.00 ,2 
2018 Apr,ACADEMY SPORTS,B&M,NC,SOUTHEAST,TENT,159.00 ,2 
2018 Apr,ACADEMY SPORTS,B&M,OK,SOUTH CENTRAL,DAYPACK,77.91 ,22 
2018 Apr,ACADEMY SPORTS,B&M,OK,SOUTH CENTRAL,PANT/CAPRI,54.46 ,74 
2018 Apr,ACADEMY SPORTS,B&M,OK,SOUTH CENTRAL,SLEEPING BAG,97.00 ,10 
2018 Apr,ACADEMY SPORTS,B&M,OK,SOUTH CENTRAL,TENT,159.00 ,2 
2018 Apr,ACADEMY SPORTS,B&M,SC,SOUTHEAST,DAYPACK,73.83 ,12 
2018 Apr,ACADEMY SPORTS,B&M,SC,SOUTHEAST,PANT/CAPRI,53.80 ,36 
2018 Apr,ACADEMY SPORTS,B&M,SC,SOUTHEAST,SLEEPING BAG,72.42 ,6 
2018 Apr,ACADEMY SPORTS,B&M,SC,SOUTHEAST,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,TN,OTHER,DAYPACK,,0 
2018 Apr,ACADEMY SPORTS,B&M,TN,OTHER,PANT/CAPRI,,0 
2018 Apr,ACADEMY SPORTS,B&M,TN,OTHER,SLEEPING BAG,,0 
2018 Apr,ACADEMY SPORTS,B&M,TN,OTHER,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,TN,SOUTHEAST,DAYPACK,71.36 ,22 
2018 Apr,ACADEMY SPORTS,B&M,TN,SOUTHEAST,PANT/CAPRI,53.75 ,112 
2018 Apr,ACADEMY SPORTS,B&M,TN,SOUTHEAST,SLEEPING BAG,63.35 ,22 
2018 Apr,ACADEMY SPORTS,B&M,TN,SOUTHEAST,TENT,131.39 ,10 
2018 Apr,ACADEMY SPORTS,B&M,TX,OTHER,DAYPACK,,0 
2018 Apr,ACADEMY SPORTS,B&M,TX,OTHER,PANT/CAPRI,,0 
2018 Apr,ACADEMY SPORTS,B&M,TX,OTHER,SLEEPING BAG,,0 
2018 Apr,ACADEMY SPORTS,B&M,TX,OTHER,TENT,,0 
2018 Apr,ACADEMY SPORTS,B&M,TX,SOUTH CENTRAL,DAYPACK,76.79 ,760 
2018 Apr,ACADEMY SPORTS,B&M,TX,SOUTH CENTRAL,JACKET/VEST,,0 
2018 Apr,ACADEMY SPORTS,B&M,TX,SOUTH CENTRAL,PANT/CAPRI,53.56 ,"2,082 "
2018 Apr,ACADEMY SPORTS,B&M,TX,SOUTH CENTRAL,SLEEPING BAG,82.27 ,130 
2018 Apr,ACADEMY SPORTS,B&M,TX,SOUTH CENTRAL,TENT,129.49 ,28 
2018 Apr,ACADEMY SPORTS,ECOMMERCE,GA,OTHER,DAYPACK,72.19 ,112 
2018 Apr,ACADEMY SPORTS,ECOMMERCE,GA,OTHER,PANT/CAPRI,51.83 ,112 
2018 Apr,ACADEMY SPORTS,ECOMMERCE,GA,OTHER,SLEEPING BAG,90.51 ,16 
2018 Apr,ACADEMY SPORTS,ECOMMERCE,GA,OTHER,TENT,154.76 ,6 
2018 Apr,BACKCOUNTRY,ECOMMERCE,OTHER,OTHER,DAYPACK,64.31 ,"1,504 "
2018 Apr,BACKCOUNTRY,ECOMMERCE,OTHER,OTHER,JACKET/VEST,70.70 ,340 
2018 Apr,BACKCOUNTRY,ECOMMERCE,OTHER,OTHER,PANT/CAPRI,58.77 ,"1,514 "
2018 Apr,BACKCOUNTRY,ECOMMERCE,OTHER,OTHER,SLEEPING BAG,144.29 ,464 
2018 Apr,BACKCOUNTRY,ECOMMERCE,OTHER,OTHER,TENT,255.89 ,224 
2018 Apr,BACKCOUNTRY,OUTLET,OTHER,OTHER,DAYPACK,48.54 ,334 
2018 Apr,BACKCOUNTRY,OUTLET,OTHER,OTHER,JACKET/VEST,72.04 ,48 
2018 Apr,BACKCOUNTRY,OUTLET,OTHER,OTHER,PANT/CAPRI,38.67 ,302 
2018 Apr,BACKCOUNTRY,OUTLET,OTHER,OTHER,SLEEPING BAG,119.67 ,54 
2018 Apr,BACKCOUNTRY,OUTLET,OTHER,OTHER,TENT,137.99 ,10 
2018 Apr,BLOOMINGDALES,B&M,CA,WEST,JACKET/VEST,,0 
2018 Apr,BLOOMINGDALES,B&M,CA,WEST,PANT/CAPRI,,0 
2018 Apr,BLOOMINGDALES,B&M,IL,NORTH CENTRAL,JACKET/VEST,,0 
2018 Apr,BLOOMINGDALES,B&M,MA,NORTHEAST,JACKET/VEST,,0 
2018 Apr,BLOOMINGDALES,B&M,MA,NORTHEAST,PANT/CAPRI,,0 
2018 Apr,BLOOMINGDALES,B&M,NJ,MIDATLANTIC,JACKET/VEST,125.63 ,8 
2018 Apr,BLOOMINGDALES,B&M,NJ,MIDATLANTIC,PANT/CAPRI,,0 
2018 Apr,BLOOMINGDALES,B&M,NY,NORTHEAST,JACKET/VEST,128.00 ,6 
2018 Apr,BLOOMINGDALES,B&M,NY,NORTHEAST,PANT/CAPRI,20.63 ,(2)
2018 Apr,BLOOMINGDALES,B&M,PA,MIDATLANTIC,PANT/CAPRI,22.69 ,(4)
2018 Apr,BLOOMINGDALES,B&M,VA,MIDATLANTIC,JACKET/VEST,,0 
2018 Apr,BLOOMINGDALES,ECOMMERCE,OTHER,OTHER,JACKET/VEST,100.13 ,10 
2018 Apr,BLOOMINGDALES,ECOMMERCE,OTHER,OTHER,PANT/CAPRI,30.94 ,(2)
2018 Apr,BOBS STORES,B&M,CT,NORTHEAST,DAYPACK,,0 
2018 Apr,BOBS STORES,B&M,CT,NORTHEAST,JACKET/VEST,,0 
2018 Apr,BOBS STORES,B&M,CT,NORTHEAST,PANT/CAPRI,,0 
2018 Apr,BOBS STORES,B&M,CT,OTHER,DAYPACK,,0 
2018 Apr,BOBS STORES,B&M,CT,OTHER,JACKET/VEST,,0 
2018 Apr,BOBS STORES,B&M,CT,OTHER,PANT/CAPRI,,0 
2018 Apr,BOBS STORES,B&M,CT,OTHER,SLEEPING BAG,,0 
2018 Apr,BOBS STORES,B&M,CT,OTHER,TENT,,0 
2018 Apr,BOBS STORES,B&M,MA,NORTHEAST,DAYPACK,96.75 ,2 
2018 Apr,BOBS STORES,B&M,MA,NORTHEAST,PANT/CAPRI,,0 
2018 Apr,BOBS STORES,B&M,NH,NORTHEAST,DAYPACK,,0 
2018 Apr,BOBS STORES,B&M,NH,NORTHEAST,JACKET/VEST,,0 
2018 Apr,BOBS STORES,B&M,NJ,MIDATLANTIC,DAYPACK,,0 
2018 Apr,BOBS STORES,ECOMMERCE,CT,OTHER,DAYPACK,,0 
2018 Apr,BOBS STORES,ECOMMERCE,CT,OTHER,JACKET/VEST,,0 
2018 Apr,BOBS STORES,ECOMMERCE,CT,OTHER,PANT/CAPRI,,0 
2018 Apr,BOBS STORES,ECOMMERCE,CT,OTHER,SLEEPING BAG,,0 
2018 Apr,BOBS STORES,ECOMMERCE,CT,OTHER,TENT,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,AL,SOUTHEAST,DAYPACK,122.71 ,6 
2018 Apr,DICKS SPORTING GOODS,B&M,AL,SOUTHEAST,JACKET/VEST,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,AL,SOUTHEAST,PANT/CAPRI,63.18 ,64 
2018 Apr,DICKS SPORTING GOODS,B&M,AL,SOUTHEAST,SLEEPING BAG,71.69 ,28 
2018 Apr,DICKS SPORTING GOODS,B&M,AL,SOUTHEAST,TENT,179.00 ,4 
2018 Apr,DICKS SPORTING GOODS,B&M,AR,SOUTH CENTRAL,DAYPACK,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,AR,SOUTH CENTRAL,JACKET/VEST,60.00 ,(4)
2018 Apr,DICKS SPORTING GOODS,B&M,AR,SOUTH CENTRAL,PANT/CAPRI,66.67 ,24 
2018 Apr,DICKS SPORTING GOODS,B&M,AR,SOUTH CENTRAL,SLEEPING BAG,79.00 ,8 
2018 Apr,DICKS SPORTING GOODS,B&M,AR,SOUTH CENTRAL,TENT,299.00 ,2 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,OTHER,DAYPACK,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,OTHER,JACKET/VEST,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,OTHER,PANT/CAPRI,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,OTHER,SLEEPING BAG,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,OTHER,TENT,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,WEST,DAYPACK,44.11 ,18 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,WEST,JACKET/VEST,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,WEST,PANT/CAPRI,62.84 ,56 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,WEST,SLEEPING BAG,72.57 ,36 
2018 Apr,DICKS SPORTING GOODS,B&M,AZ,WEST,TENT,183.19 ,10 
2018 Apr,DICKS SPORTING GOODS,B&M,CA,WEST,DAYPACK,69.12 ,122 
2018 Apr,DICKS SPORTING GOODS,B&M,CA,WEST,JACKET/VEST,37.15 ,20 
2018 Apr,DICKS SPORTING GOODS,B&M,CA,WEST,PANT/CAPRI,59.09 ,302 
2018 Apr,DICKS SPORTING GOODS,B&M,CA,WEST,SLEEPING BAG,73.71 ,306 
2018 Apr,DICKS SPORTING GOODS,B&M,CA,WEST,TENT,193.02 ,26 
2018 Apr,DICKS SPORTING GOODS,B&M,CO,WEST,DAYPACK,78.66 ,34 
2018 Apr,DICKS SPORTING GOODS,B&M,CO,WEST,JACKET/VEST,55.72 ,72 
2018 Apr,DICKS SPORTING GOODS,B&M,CO,WEST,PANT/CAPRI,60.92 ,232 
2018 Apr,DICKS SPORTING GOODS,B&M,CO,WEST,SLEEPING BAG,71.14 ,40 
2018 Apr,DICKS SPORTING GOODS,B&M,CO,WEST,TENT,179.00 ,4 
2018 Apr,DICKS SPORTING GOODS,B&M,CT,NORTHEAST,DAYPACK,71.37 ,48 
2018 Apr,DICKS SPORTING GOODS,B&M,CT,NORTHEAST,JACKET/VEST,67.25 ,24 
2018 Apr,DICKS SPORTING GOODS,B&M,CT,NORTHEAST,PANT/CAPRI,62.13 ,86 
2018 Apr,DICKS SPORTING GOODS,B&M,CT,NORTHEAST,SLEEPING BAG,71.36 ,24 
2018 Apr,DICKS SPORTING GOODS,B&M,CT,NORTHEAST,TENT,159.00 ,2 
2018 Apr,DICKS SPORTING GOODS,B&M,DC,MIDATLANTIC,DAYPACK,114.00 ,4 
2018 Apr,DICKS SPORTING GOODS,B&M,DC,MIDATLANTIC,JACKET/VEST,80.00 ,(2)
2018 Apr,DICKS SPORTING GOODS,B&M,DC,MIDATLANTIC,PANT/CAPRI,70.00 ,2 
2018 Apr,DICKS SPORTING GOODS,B&M,DC,MIDATLANTIC,SLEEPING BAG,69.00 ,2 
2018 Apr,DICKS SPORTING GOODS,B&M,DC,MIDATLANTIC,TENT,199.00 ,2 
2018 Apr,DICKS SPORTING GOODS,B&M,DE,MIDATLANTIC,DAYPACK,83.17 ,8 
2018 Apr,DICKS SPORTING GOODS,B&M,DE,MIDATLANTIC,JACKET/VEST,65.00 ,6 
2018 Apr,DICKS SPORTING GOODS,B&M,DE,MIDATLANTIC,PANT/CAPRI,64.94 ,8 
2018 Apr,DICKS SPORTING GOODS,B&M,DE,MIDATLANTIC,SLEEPING BAG,71.24 ,6 
2018 Apr,DICKS SPORTING GOODS,B&M,DE,MIDATLANTIC,TENT,199.00 ,(2)
2018 Apr,DICKS SPORTING GOODS,B&M,FL,SOUTHEAST,DAYPACK,72.48 ,68 
2018 Apr,DICKS SPORTING GOODS,B&M,FL,SOUTHEAST,JACKET/VEST,319.53 ,(2)
2018 Apr,DICKS SPORTING GOODS,B&M,FL,SOUTHEAST,PANT/CAPRI,62.85 ,282 
2018 Apr,DICKS SPORTING GOODS,B&M,FL,SOUTHEAST,SLEEPING BAG,68.57 ,84 
2018 Apr,DICKS SPORTING GOODS,B&M,FL,SOUTHEAST,TENT,181.33 ,36 
2018 Apr,DICKS SPORTING GOODS,B&M,FL,WEST,DAYPACK,89.00 ,2 
2018 Apr,DICKS SPORTING GOODS,B&M,FL,WEST,PANT/CAPRI,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,FL,WEST,SLEEPING BAG,78.00 ,8 
2018 Apr,DICKS SPORTING GOODS,B&M,FL,WEST,TENT,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,OTHER,DAYPACK,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,OTHER,JACKET/VEST,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,OTHER,PANT/CAPRI,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,OTHER,SLEEPING BAG,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,OTHER,TENT,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,SOUTHEAST,DAYPACK,60.71 ,42 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,SOUTHEAST,JACKET/VEST,65.32 ,28 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,SOUTHEAST,PANT/CAPRI,57.46 ,180 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,SOUTHEAST,SLEEPING BAG,70.59 ,74 
2018 Apr,DICKS SPORTING GOODS,B&M,GA,SOUTHEAST,TENT,140.20 ,10 
2018 Apr,DICKS SPORTING GOODS,B&M,IA,NORTH CENTRAL,DAYPACK,61.00 ,10 
2018 Apr,DICKS SPORTING GOODS,B&M,IA,NORTH CENTRAL,JACKET/VEST,56.01 ,10 
2018 Apr,DICKS SPORTING GOODS,B&M,IA,NORTH CENTRAL,PANT/CAPRI,63.54 ,38 
2018 Apr,DICKS SPORTING GOODS,B&M,IA,NORTH CENTRAL,SLEEPING BAG,73.20 ,6 
2018 Apr,DICKS SPORTING GOODS,B&M,IA,NORTH CENTRAL,TENT,166.41 ,8 
2018 Apr,DICKS SPORTING GOODS,B&M,ID,NORTHWEST,DAYPACK,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,ID,NORTHWEST,JACKET/VEST,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,ID,NORTHWEST,PANT/CAPRI,66.60 ,30 
2018 Apr,DICKS SPORTING GOODS,B&M,ID,NORTHWEST,SLEEPING BAG,87.45 ,4 
2018 Apr,DICKS SPORTING GOODS,B&M,ID,NORTHWEST,TENT,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,IL,NORTH CENTRAL,DAYPACK,65.63 ,28 
2018 Apr,DICKS SPORTING GOODS,B&M,IL,NORTH CENTRAL,JACKET/VEST,66.98 ,172 
2018 Apr,DICKS SPORTING GOODS,B&M,IL,NORTH CENTRAL,PANT/CAPRI,61.40 ,440 
2018 Apr,DICKS SPORTING GOODS,B&M,IL,NORTH CENTRAL,SLEEPING BAG,68.42 ,92 
2018 Apr,DICKS SPORTING GOODS,B&M,IL,NORTH CENTRAL,TENT,202.33 ,12 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,NORTH CENTRAL,DAYPACK,70.23 ,24 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,NORTH CENTRAL,JACKET/VEST,64.05 ,68 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,NORTH CENTRAL,PANT/CAPRI,63.42 ,210 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,NORTH CENTRAL,SLEEPING BAG,65.42 ,60 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,NORTH CENTRAL,TENT,185.67 ,12 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,OTHER,DAYPACK,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,OTHER,JACKET/VEST,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,OTHER,PANT/CAPRI,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,OTHER,SLEEPING BAG,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,IN,OTHER,TENT,,0 
2018 Apr,DICKS SPORTING GOODS,B&M,KS,NORTH CENTRAL,DAYPACK,85.86 ,14 
2018 Apr,DICKS SPORTING GOODS,B&M,KS,NORTH CENTRAL,JACKET/VEST,75.06 ,14 
2018 Apr,DICKS SPORTING GOODS,B&M,KS,NORTH CENTRAL,PANT/CAPRI,66.50 ,94 
